Title, link_posizione,Luogo,Azienda,score_trasparenza,Regione,Featured Image
Plant Operational Excellence Intern,https://careers.chiesi.com/job/PARMA-Plant-Operational-Excellence-Intern/806982802/,PARMA,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
Global Automation & Digitalization Manager,https://careers.chiesi.com/job/Parma-Global-Automation-&-Digitalization-Manager/808912702/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
DS Analytical Technician,https://careers.chiesi.com/job/Parma-DS-Analytical-Technician/802597402/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
Global Regulatory Affairs Manager,https://careers.chiesi.com/job/Parma-Global-Regulatory-Affairs-Manager/809687302/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
Global R&D Cost & Resource Specialist,https://careers.chiesi.com/job/Parma-Global-R&D-Cost-&-Resource-Specialist/799776802/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
Head of Global Pharmacovigilance Center of Excellence,https://careers.chiesi.com/job/Parma-Head-of-Global-Pharmacovigilance-Center-of-Excellence/807747602/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
HQ Talent Acquisition Intern,https://careers.chiesi.com/job/Parma-HQ-Talent-Acquisition-Intern/804597102/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
Global Medical Affairs Clinical Operations Intern,https://careers.chiesi.com/job/Parma-Global-Medical-Affairs-Clinical-Operations-Intern/810202602/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
Stage - Health Safety & Environment Affiliates,https://careers.chiesi.com/job/Parma-Stage-Health-Safety-&-Environment-Affiliates/808608202/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
Medical Information Intern,https://careers.chiesi.com/job/Parma-Medical-Information-Intern/804593002/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
"GPV Operations Unit Head, Care",https://careers.chiesi.com/job/Parma-GPV-Operations-Unit-Head%2C-Care/806631202/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
Global Trademarks Specialist,https://careers.chiesi.com/job/Parma-Global-Trademarks-Specialist/810142702/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
Group HR Analytics & HRIS Intern,https://careers.chiesi.com/job/Parma-Group-HR-Analytics-&-HRIS-Intern/809327602/,Parma,Chiesi,88,Emilia-Romagna,https://pietrotorna.it/wp-content/uploads/2025/01/Logo_Chiesi2.png
